Id,City,Country,Label,Name,latitude,longitude
0,Linz,AUSTRIA,LNZ,Linz Airport,48.233212,14.187510
1,Vienna,AUSTRIA,VIE,Vienna International Airport,48.110271,16.569719
2,Brussels,BELGIUM,BRU,Brussels Airport,50.901379,4.484444
3,Sofia,BULGARIA,SOF,Sofia Airport,42.695190,23.406160
4,Paris,FRANCE,ORY,Paris Orly Airport,48.723331,2.379444
5,Cologne,GERMANY,CGN,Cologne Bonn Airport,50.866001,7.143000
6,Frankfurt,GERMANY,FRA,Frankfurt Airport,50.026421,8.543125
7,Munich,GERMANY,MUC,Munich Airport,48.353779,11.786080
8,Athens,GREECE,ATH,Athens Eleftherios Venizelos,37.936352,23.944460
9,Budapest,HUNGARY,BUD,Budapest Ferenc Liszt International Airport,47.436932,19.255590
10,Ancona,ITALY,AOI,Ancona Airport,43.616341,13.362310
11,Bari,ITALY,BRI,Bari Karol Wojtyla Airport,41.138851,16.760590
12,Bologna,ITALY,BLQ,Bologna Guglielmo Marconi Airport,44.535439,11.288660
13,Florence,ITALY,FLR,Florence Peretola Airport,43.809952,11.205100
14,Genoa,ITALY,GOA,Genoa Cristoforo Colombo Airport,44.413330,8.837500
15,Milan,ITALY,BGY,Milan Bergamo Il Caravaggio International Airport,45.673882,9.704166
16,Milan,ITALY,MXP,Milan Malpensa Airport,45.630600,8.728111
17,Perugia,ITALY,PEG,Perugia Umbria International Airport,43.095901,12.513220
18,Pisa,ITALY,PSA,Pisa Galileo Galilei Airport,43.683910,10.392750
19,Rimini,ITALY,RMI,Rimini Federico Fellini Airport,44.020290,12.611740
20,Rome,ITALY,FCO,Rome Leonardo da Vinci Fiumicino Airport,41.804470,12.250790
21,Treviso,ITALY,TSF,Treviso Airport,45.648399,12.194420
22,Turin,ITALY,TRN,Turin Caselle Airport,45.200760,7.649631
23,Cuneo,ITALY,CUF,Turin Cuneo Levaldigi Airport,44.547009,7.623217
24,Venice,ITALY,VCE,Venice Marco Polo Airport,45.505268,12.351940
25,Verona,ITALY,VRN,Verona Airport,45.395699,10.888530
26,Amsterdam,NETHERLANDS,AMS,Amsterdam Schiphol Airport,52.308609,4.763889
27,Belgrade,SERBIA,BEG,Belgrade Nikola Tesla Airport,44.818439,20.309130
28,Ljubljana,SLOVENIA,LJU,Ljubljana Joze Pucnik Airport,46.223679,14.457610
29,Istanbul,TURKEY,IST,Istanbul Ataturk International Airport,40.976921,28.814600
30,Istanbul,TURKEY,SAW,Istanbul Sabiha Gokcen International Airport,40.898548,29.309210
31,London,UNITED KINGDOM,LGW,London Gatwick Airport,51.148048,-0.190270
32,London,UNITED KINGDOM,LTN,London Luton Airport,51.874722,-0.368330
33,London,UNITED KINGDOM,STN,London Stansted Airport,51.884998,0.235000
34,Minsk,BELARUS,MSQ,Minsk International Airport,53.882462,28.030729
35,Sharm el-Sheikh,EGYPT,SSH,Sharm el-Sheikh International Airport,27.977280,34.394951
36,Lyon,FRANCE,LYS,Lyon Saint Exupery Airport,45.725552,5.081111
37,Paris,FRANCE,CDG,Paris Charles de Gaulle Airport,49.012516,2.555752
38,Tbilisi,GEORGIA,TBS,Tbilisi International Airport,41.669159,44.954720
39,Tehran,IRAN,IKA,Tehran Imam Khomeini International Airport,35.416111,51.152222
40,Tel Aviv,ISRAEL,TLV,Tel Aviv Ben Gurion International Airport,32.011379,34.886662
41,Aktau,KAZAKHSTAN,SCO,Aktau Airport,43.860050,51.091969
42,Astana,KAZAKHSTAN,TSE,Astana International Airport,51.022221,71.466942
43,Beirut,LEBANON,BEY,Beirut Rafic Hariri International Airport,33.820930,35.488380
44,Warsaw,POLAND,WAW,Warsaw Chopin Airport,52.165749,20.967119
45,Doha,QATAR,DOH,Doha Hamad International Airport,25.273056,51.608055
46,Krasnodar,RUSSIA,KRR,Krasnodar International Airport,45.034679,39.170528
47,Mineralnye Vody,RUSSIA,MRV,Mineralnye Vody Airport,44.225071,43.081879
48,Moscow,RUSSIA,DME,Moscow Domodedovo International Airport,55.408779,37.906311
49,Moscow,RUSSIA,SVO,Moscow Sheremetyevo International Airport,55.972641,37.414581
50,Moscow,RUSSIA,VKO,Moscow Vnukovo International Airport,55.591530,37.261478
51,Novosibirsk,RUSSIA,OVB,Novosibirsk Tolmachevo Airport,55.012619,82.650650
52,Rostov-on-Don,RUSSIA,ROV,Rostov-on-Don Platov International Airport,47.493889,39.924721
53,Samara,RUSSIA,KUF,Samara Kurumoch International Airport,53.504848,50.164330
54,Sochi,RUSSIA,AER,Sochi International Airport,43.449921,39.956581
55,St. Petersburg,RUSSIA,LED,St. Petersburg Pulkovo Airport,59.800289,30.262501
56,Voronezh,RUSSIA,VOZ,Voronezh International Airport,51.814209,39.229580
57,Yekaterinburg,RUSSIA,SVX,Yekaterinburg Koltsovo Airport,56.743099,60.802719
58,Damascus,SYRIA,DAM,Damascus International Airport,33.410629,36.514259
59,Ashgabat,TURKMENISTAN,ASB,Ashgabat International Airport,37.986809,58.360958
60,Kiev,UKRAINE,KBP,Kiev Boryspil International Airport,50.345001,30.894720
61,Dubai,UNITED ARAB EMIRATES,DXB,Dubai International Airport,25.252769,55.364441
62,Sharjah,UNITED ARAB EMIRATES,SHJ,Sharjah International Airport,25.328569,55.517151
63,Berlin,GERMANY,TXL,Berlin Tegel Airport,52.560001,13.288000
64,Dusseldorf,GERMANY,DUS,Dusseldorf International Airport,51.289452,6.766775
65,Stuttgart,GERMANY,STR,Stuttgart Airport,48.689869,9.221964
66,Heraklion,GREECE,HER,Heraklion International Airport,35.339710,25.180290
67,Porto,PORTUGAL,OPO,Porto Francisco de Sa Carneiro Airport,41.248051,-8.681380
68,Palma de Mallorca,SPAIN,PMI,Palma de Mallorca Airport,39.551670,2.738808
69,Zurich,SWITZERLAND,ZRH,Zurich Airport,47.464722,8.549167
70,Kos,GREECE,KGS,Kos Island International Airport,36.793331,27.091660
71,Rhodes,GREECE,RHO,Rhodes International Airport,36.405411,28.086189
72,London,UNITED KINGDOM,LHR,London Heathrow Airport,51.477501,-0.461380
73,Hamburg,GERMANY,HAM,Hamburg Airport,53.630379,9.988228
74,Tirana,ALBANIA,TIA,Tirana International Airport,41.414742,19.720560
75,Corfu,GREECE,CFU,Corfu International Airport,39.601940,19.911659
76,Berlin,GERMANY,SXF,Berlin Schonefeld Airport,52.380001,13.522500
77,Olbia,ITALY,OLB,Olbia – Costa Smeralda Airport,40.898659,9.517628
78,Girona,SPAIN,GRO,Girona Costa Brava Airport,41.900959,2.760547
79,Algiers,ALGERIA,ALG,Algiers Houari Boumediene Airport,36.691010,3.215408
80,Yerevan,ARMENIA,EVN,Yerevan Zvartnots International Airport,40.147270,44.395882
81,Graz,AUSTRIA,GRZ,Graz Airport,46.991058,15.439620
82,Innsbruck,AUSTRIA,INN,Innsbruck Kranebitten Airport,47.260208,11.343960
83,Klagenfurt,AUSTRIA,KLU,Klagenfurt Airport,46.642509,14.337730
84,Salzburg,AUSTRIA,SZG,Salzburg Airport,47.793301,13.004330
85,Sarajevo,BOSNIA AND HERZEGOVINA,SJJ,Sarajevo International Airport,43.824581,18.331461
86,Tuzla,BOSNIA AND HERZEGOVINA,TZL,Tuzla International Airport,44.458649,18.724779
87,Burgas,BULGARIA,BOJ,Burgas Airport,42.569580,27.515230
88,Varna,BULGARIA,VAR,Varna Airport,43.232071,27.825100
89,Toronto,CANADA,YYZ,Toronto Pearson International Airport,43.677219,-79.630501
90,Beijing,CHINA,PEK,Beijing Capital International Airport,40.080109,116.584503
91,Shanghai,CHINA,PVG,Shanghai Pudong International Airport,31.143370,121.805199
92,Dubrovnik,CROATIA,DBV,Dubrovnik Airport,42.561352,18.268240
93,Split,CROATIA,SPU,Split Airport,43.538940,16.297960
94,Zagreb,CROATIA,ZAG,Zagreb Airport,45.742931,16.068769
95,Larnaca,CYPRUS,LCA,Larnaca International Airport,34.875111,33.624851
96,Prague,CZECH REPUBLIC,PRG,Prague Vaclav Havel Airport,50.100830,14.260000
97,Copenhagen,DENMARK,CPH,Copenhagen Airport,55.608387,12.645351
98,Cairo,EGYPT,CAI,Cairo International Airport,30.121941,31.405550
99,Tallinn,ESTONIA,TLL,Tallinn Lennart Meri Airport ,59.413311,24.832840
100,Addis Ababa,ETHIOPIA,ADD,Addis Ababa Bole Airport,8.977889,38.799309
101,Helsinki,FINLAND,HEL,Helsinki Vantaa Airport,60.317219,24.963329
102,Basel,FRANCE,BSL,Basel Mulhouse-Freiburg EuroAirport,47.598900,7.528300
103,Marseille,FRANCE,MRS,Marseille Provence Airport,43.436661,5.215000
104,Nantes,FRANCE,NTE,Nantes Atlantique Airport,47.156940,-1.607770
105,Nice,FRANCE,NCE,Nice Cote d'Azur Airport,43.665272,7.215000
106,Toulouse,FRANCE,TLS,Toulouse Blagnac Airport,43.634998,1.367778
107,Hahn,GERMANY,HHN,Frankfurt Hahn Airport,49.948669,7.263892
108,Hannover,GERMANY,HAJ,Hannover Langenhagen Airport,52.461048,9.685078
109,Leipzig,GERMANY,LEJ,Leipzig Halle Airport,51.432442,12.241630
110,Nurnberg,GERMANY,NUE,Nuremberg Airport,49.498699,11.066890
111,Chania,GREECE,CHQ,Chania International Airport,35.531738,24.149670
112,Kavala,GREECE,KVA,Kavala International Airport,40.913300,24.619221
113,Samos,GREECE,SMI,Samos International Airport,37.689991,26.911659
114,Santorini,GREECE,JTR,Santorini Thira National Airport,36.399158,25.479330
115,Thessaloniki,GREECE,SKG,Thessaloniki International Airport,40.519718,22.970949
116,Hong Kong,HONG KONG,HKG,Hong Kong International Airport,22.308880,113.914703
117,Delhi,INDIA,DEL,Delhi Indira Gandhi International Airport,28.566500,77.103081
118,Shiraz,IRAN,SYZ,Shiraz International Airport,29.539240,52.589779
119,Arbil,IRAQ,EBL,Erbil International Airport,36.237610,43.963150
120,Dublin,IRELAND,DUB,Dublin Airport,53.421379,-6.270000
121,Brindisi,ITALY,BDS,Brindisi Airport,40.657631,17.947029
122,Catania,ITALY,CTA,Catania Fontanarossa Airport,37.466782,15.066400
123,Lamezia Terme,ITALY,SUF,Lamezia Terme Airport,38.905392,16.242260
124,Naples,ITALY,NAP,Naples Airport,40.886028,14.290780
125,Palermo,ITALY,PMO,Palermo Falcone-Borsellino Airport,38.175949,13.091010
126,Amman,JORDAN,AMM,Amman Queen Alia International Airport,31.722549,35.993210
127,Pristina,KOSOVO,PRN,Pristina Adem Jashari International Airport,42.572769,21.035830
128,Riga,LATVIA,RIX,Riga International Airport,56.923611,23.971109
129,Vilnius,LITHUANIA,VNO,Vilnius International Airport,54.637070,25.287800
130,Luxembourg,LUXEMBOURG,LUX,Luxembourg Findel Airport,49.623329,6.204444
131,Skopje,MACEDONIA,SKP,Skopje International Airport,41.961620,21.621380
132,Luqa,MALTA,MLA,Luqa Malta International Airport,35.857491,14.477500
133,Chisinau,MOLDOVA,KIV,Chisinau International Airport,46.927738,28.930969
134,Podgorica,MONTENEGRO,TGD,Podgorica Airport,42.359390,19.251890
135,Marrakesh ,MOROCCO,RAK,Marrakesh Menara Airport,31.606880,-8.036300
136,Rotterdam,NETHERLANDS,RTM,Rotterdam The Hague Airport,51.956940,4.437222
137,Oslo,NORWAY,OSL,Oslo Gardermoen Airport,60.193909,11.100360
138,Gdansk,POLAND,GDN,Gdansk Lech Walesa Airport,54.377560,18.466221
139,Krakow,POLAND,KRK,Krakow John Paul II International Airport,50.077728,19.784830
140,Faro,PORTUGAL,FAO,Faro Airport,37.014420,-7.965910
141,Funchal,PORTUGAL,FNC,Funchal Cristiano Ronaldo Airport,32.697880,-16.774401
142,Lisbon,PORTUGAL,LIS,Lisbon Humberto Delgado Airport,38.781311,-9.135910
143,Bucharest,ROMANIA,OTP,Bucharest Henri Coanda International Airport,44.572159,26.102171
144,Iasi,ROMANIA,IAS,Iasi International Airport,47.178490,27.620630
145,Sibiu,ROMANIA,SBZ,Sibiu International Airport,45.785789,24.091181
146,Kosice,SLOVAKIA,KSC,Kosice International Airport,48.663052,21.241110
147,Maribor,SLOVENIA,MBX,Maribor Airport,46.479858,15.686130
148,Seoul,SOUTH KOREA,ICN,Seoul Incheon International Airport,37.469070,126.450500
149,Barcelona,SPAIN,BCN,Barcelona El Prat Airport,41.297070,2.078463
150,Bilbao,SPAIN,BIO,Bilbao Airport,43.301090,-2.910600
151,Fuerteventura,SPAIN,FUE,Fuerteventura Airport,28.452709,-13.863700
152,Las Palmas,SPAIN,LPA,Gran Canaria Airport,27.931881,-15.386500
153,Ibiza,SPAIN,IBZ,Ibiza Airport,38.872849,1.373117
154,Madrid,SPAIN,MAD,Madrid Barajas Airport,40.493549,-3.566760
155,Mahon,SPAIN,MAH,Mahon Menorca Airport,39.862591,4.218647
156,Malaga,SPAIN,AGP,Malaga Costa Del Sol Airport,36.674900,-4.499100
157,Tenerife,SPAIN,TFS,Tenerife South Airport,28.044470,-16.572399
158,Zaragoza,SPAIN,ZAZ,Zaragoza Airport,41.666241,-1.041550
159,Gothenburg,SWEDEN,GOT,Gothenburg Landvetter Airport,57.662830,12.279810
160,Stockholm,SWEDEN,ARN,Stockholm Arlanda Airport,59.651939,17.918610
