Id,Label,timeset,city,country,name,latitude,longitude,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
74,TIA,,Tirana,ALBANIA,Tirana International Airport,41.414742,19.72056,30,33,63,251,264,515,4,0.432902,0.460522,314.485263,1,0,724,0.441288,0.240037
0,LNZ,,Linz,AUSTRIA,Linz Airport,48.233212,14.18751,9,9,18,53,53,106,4,0.393755,0.414006,1.496398,0,0,724,0.688889,0.084177
1,VIE,,Vienna,AUSTRIA,Vienna International Airport,48.110271,16.569719,121,159,280,2357,2694,5051,3,0.532055,0.574665,3935.149393,0,0,724,0.262966,0.85796
2,BRU,,Brussels,BELGIUM,Brussels Airport,50.901379,4.484444,126,194,320,2082,2463,4545,3,0.533516,0.587539,4812.6434,0,0,724,0.184279,0.888562
4,ORY,,Paris,FRANCE,Paris Orly Airport,48.723331,2.379444,70,128,198,1914,2755,4669,3,0.484531,0.533299,5093.15354,5,0,724,0.140256,0.504865
5,CGN,,Cologne,GERMANY,Cologne Bonn Airport,50.866001,7.143,104,140,244,1106,1186,2292,4,0.495156,0.544971,3058.578762,0,0,724,0.197062,0.703225
6,FRA,,Frankfurt,GERMANY,Frankfurt Airport,50.026421,8.543125,150,292,442,4519,5859,10378,3,0.570505,0.641435,12641.824196,0,0,724,0.104281,0.96758
7,MUC,,Munich,GERMANY,Munich Airport,48.353779,11.78608,147,230,377,3837,4424,8261,3,0.553592,0.611226,7964.034975,0,0,724,0.165293,0.978764
8,ATH,,Athens,GREECE,Athens Eleftherios Venizelos,37.936352,23.94446,101,143,244,1663,2174,3837,3,0.518974,0.561277,4788.797897,6,0,724,0.252203,0.766622
9,BUD,,Budapest,HUNGARY,Budapest Ferenc Liszt International Airport,47.436932,19.25559,107,125,232,1087,1186,2273,3,0.520923,0.556299,2064.114134,0,0,724,0.368258,0.801748
10,AOI,,Ancona,ITALY,Ancona Airport,43.616341,13.36231,6,6,12,44,44,88,4,0.372316,0.390148,1.981918,0,0,724,0.333333,0.045436
11,BRI,,Bari,ITALY,Bari Karol Wojtyla Airport,41.138851,16.76059,56,58,114,406,410,816,4,0.438573,0.474082,215.924151,1,0,724,0.508469,0.443699
12,BLQ,,Bologna,ITALY,Bologna Guglielmo Marconi Airport,44.535439,11.28866,70,85,155,692,733,1425,3,0.483807,0.518023,768.645751,1,0,724,0.367579,0.55725
13,FLR,,Florence,ITALY,Florence Peretola Airport,43.809952,11.2051,23,22,45,350,339,689,4,0.422174,0.446361,38.681967,0,0,724,0.682971,0.218801
14,GOA,,Genoa,ITALY,Genoa Cristoforo Colombo Airport,44.41333,8.8375,20,20,40,169,169,338,4,0.430981,0.453913,20.507712,1,0,724,0.765789,0.191867
15,BGY,,Milan,ITALY,Milan Bergamo Il Caravaggio International Airport,45.673882,9.704166,88,111,199,804,880,1684,3,0.464816,0.512873,2075.4081,1,0,724,0.244308,0.584699
16,MXP,,Milan,ITALY,Milan Malpensa Airport,45.6306,8.728111,102,158,260,1770,2092,3862,3,0.532055,0.574322,3199.536325,1,0,724,0.224722,0.782175
17,PEG,,Perugia,ITALY,Perugia Umbria International Airport,43.095901,12.51322,5,5,10,17,17,34,4,0.378853,0.398043,0.89421,8,0,724,0.4,0.042292
18,PSA,,Pisa,ITALY,Pisa Galileo Galilei Airport,43.68391,10.39275,73,77,150,451,465,916,3,0.488676,0.518709,885.596821,1,0,724,0.411755,0.555004
19,RMI,,Rimini,ITALY,Rimini Federico Fellini Airport,44.02029,12.61174,6,0,6,22,0,22,0,0,0,0,3,0,306,0.3,0.032667
20,FCO,,Rome,ITALY,Rome Leonardo da Vinci Fiumicino Airport,41.80447,12.25079,110,180,290,2904,3550,6454,3,0.534986,0.583591,3700.431927,1,0,724,0.1982,0.818247
21,TSF,,Treviso,ITALY,Treviso Airport,45.648399,12.19442,42,43,85,223,226,449,4,0.421075,0.452798,167.092509,1,0,724,0.447398,0.30371
22,TRN,,Turin,ITALY,Turin Caselle Airport,45.20076,7.649631,35,39,74,389,403,792,4,0.429456,0.45872,194.741551,1,0,724,0.476383,0.282669
23,CUF,,Cuneo,ITALY,Turin Cuneo Levaldigi Airport,44.547009,7.623217,2,0,2,7,0,7,0,0,0,0,1,0,556,0,0.008408
24,VCE,,Venice,ITALY,Venice Marco Polo Airport,45.505268,12.35194,72,87,159,944,1021,1965,3,0.501291,0.530724,460.618192,0,0,724,0.450013,0.604152
25,VRN,,Verona,ITALY,Verona Airport,45.395699,10.88853,40,43,83,306,305,611,4,0.440763,0.47022,193.898526,1,0,724,0.456039,0.321625
26,AMS,,Amsterdam,NETHERLANDS,Amsterdam Schiphol Airport,52.308609,4.763889,151,270,421,4520,5694,10214,3,0.569168,0.633196,11911.222838,4,0,724,0.128052,1
27,BEG,,Belgrade,SERBIA,Belgrade Nikola Tesla Airport,44.818439,20.30913,57,65,122,557,613,1170,3,0.470674,0.501545,611.9037,0,0,724,0.448892,0.454144
28,LJU,,Ljubljana,SLOVENIA,Ljubljana Joze Pucnik Airport,46.223679,14.45761,38,43,81,306,315,621,4,0.449121,0.477257,207.263399,0,0,724,0.474561,0.313297
29,IST,,Istanbul,TURKEY,Istanbul Ataturk International Airport,40.976921,28.8146,103,274,377,2675,5019,7694,3,0.560624,0.630106,16647.450628,2,0,724,0.077458,0.722386
