,canceled_departure_list,canceled_arrival_list,canceled_flight_codes_list
0,SHJ,EVN,G9244
1,EVN,SHJ,G9245
2,VIE,TLV,3V4848
3,VIE,TLV,3V4848
4,VIE,SHJ,G9572
5,SHJ,VIE,G9571
6,AMS,GYD,7L204
7,GYD,SHJ,G9302
8,GYD,SHJ,G9306
9,SHJ,GYD,G9301
10,SHJ,GYD,G9305
11,VIE,TLV,3V4848
12,VIE,LGG,3V4251
13,VIE,TLV,3V4848
14,BER,SOF,FB320
15,SOF,FRA,FB437
16,FRA,SOF,FB438
17,AAL,CPH,DY3081
18,AAL,CPH,SK1208
19,CPH,AAL,DY3094
20,CPH,AAL,SK1207
21,AAR,CPH,SK1242
22,CPH,AAR,SK1263
23,CPH,AAL,DY3094
24,CPH,AAL,SK1207
25,AAL,CPH,DY3081
26,AAL,CPH,SK1208
27,CPH,AAR,SK1263
28,AAR,CPH,SK1242
29,CPH,DUS,SK627
30,DUS,CPH,SK628
31,CPH,MUC,SK2657
32,MUC,CPH,SK2658
33,CPH,PLQ,SK2746
34,PLQ,CPH,SK2747
35,CPH,OSL,SK1474
36,CPH,GDN,SK759
37,GDN,CPH,SK760
38,CPH,ARN,SK1428
39,ARN,CPH,SK1427
40,HEL,LHR,AY1331
41,HEL,LHR,AY1337
42,LHR,HEL,AY1332
43,LHR,HEL,AY1338
44,AJA,MRS,XK154
45,MRS,AJA,XK155
46,BIA,MRS,XK254
47,MRS,BIA,XK255
48,MRS,AJA,XK155
49,AJA,MRS,XK154
50,MRS,BIA,XK255
51,BIA,MRS,XK254
52,MPL,FEZ,3O338
53,FEZ,MPL,3O337
54,PUF,ORY,AF7463
55,NRT,CDG,AF275
56,MRU,CDG,MK14
57,CDG,MEX,AM4
58,CDG,MEX,AF178
59,CDG,AGA,3O368
60,AGA,CDG,3O367
61,CDG,ORD,AF5396
62,CDG,LAX,AF5392
63,SHJ,TBS,G9293
64,TBS,SHJ,G9294
65,BER,SOF,FB320
66,BER,MLA,KM377
67,MLA,BER,KM376
68,DUS,CPH,SK628
69,CPH,DUS,SK627
70,FRA,SOF,FB438
71,SOF,FRA,FB437
72,FRA,HND,NH224
73,HND,FRA,NH223
74,MUC,CPH,SK2658
75,CPH,MUC,SK2657
76,VIE,LGG,3V4251
77,BLQ,FCO,AZ1318
78,FCO,BLQ,AZ1319
79,FLR,AMS,KL1642
80,FCO,BLQ,AZ1319
81,BLQ,FCO,AZ1318
82,FCO,LHR,AZ204
83,LHR,FCO,AZ207
84,MXP,PHL,AA9728
85,KGF,ALA,DV782
86,ALA,SHJ,G9254
87,SHJ,ALA,G9253
88,EZE,DFW,QR8148
89,EZE,DFW,QR8148
90,MLA,BER,KM376
91,BER,MLA,KM377
92,MLA,TUN,UG1301
93,TUN,MLA,UG1300
94,AMS,GYD,7L204
95,AMS,CAN,CZ308
96,FLR,AMS,KL1642
97,OSL,AMS,KL1140
98,AMS,CPT,KL597
99,AMS,JNB,KL591
100,JNB,AMS,KL592
101,AMS,ABZ,KL1451
102,ABZ,AMS,KL1440
103,AMS,EDI,KL1293
104,EDI,AMS,KL1276
105,GLA,AMS,KL1470
106,BOS,AMS,KL618
107,BGO,OSL,SK278
108,OSL,BGO,SK271
109,OSL,BOO,SK4124
110,CPH,OSL,SK1474
111,OSL,AMS,KL1140
112,OSL,BGO,SK271
113,BGO,OSL,SK278
114,OSL,BOO,SK4124
115,KKN,OSL,SK4479
116,RRS,OSL,FL135
117,GDN,CPH,SK760
118,CPH,GDN,SK759
119,WAW,TLV,W61559
120,LIS,CMN,3O135
121,CMN,LIS,3O134
122,HOR,FLW,SP564
123,TER,PDL,SP401
124,FLW,HOR,SP565
125,OPO,STN,FR8344
126,STN,OPO,FR8343
127,SVX,OSS,YK866
128,DME,LPK,S71203
129,LPK,DME,S71204
130,AER,DME,U6448
131,DME,SHJ,G9956
132,SHJ,DME,G9955
133,SVO,NUX,SU1522
134,SVO,IST,SU2136
135,IST,SVO,SU2137
136,AER,VOZ,7R352
137,AER,DME,U6448
138,AER,VOZ,7R352
139,VIE,LGG,3V4251
140,BIO,MAD,IB449
141,SCU,HAV,CU471
142,SCU,MAD,CU470
143,HAV,SCU,CU470
144,SCU,HAV,CU471
145,BIO,MAD,IB449
146,ZAZ,MEX,QR8175
147,ZAZ,MEX,QR8175
148,ARN,CPH,SK1427
149,CPH,ARN,SK1428
150,ZRH,PUJ,WK34
151,ESB,VAN,TK7086
152,VAN,ESB,TK7087
153,IST,IKA,IR718
154,IKA,IST,IR719
155,IST,KWI,J9302
156,KWI,IST,J9301
157,ACC,ISL,TK6503
158,LHE,IST,TK715
159,IST,SVO,SU2137
160,SVO,IST,SU2136
161,IST,VAN,TK2746
162,VAN,IST,TK2747
163,IST,YKO,TK2670
164,YKO,IST,TK2671
165,ABZ,AMS,KL1440
166,AMS,ABZ,KL1451
167,LSI,ABZ,LM71
168,EDI,AMS,KL1276
169,AMS,EDI,KL1293
170,GLA,AMS,KL1470
171,LGW,TNG,3O102
172,TNG,LGW,3O101
173,GRU,LHR,BA246
174,LHR,HEL,AY1332
175,LHR,HEL,AY1338
176,HEL,LHR,AY1331
177,HEL,LHR,AY1337
178,LHR,FCO,AZ207
179,FCO,LHR,AZ204
180,LHR,CMN,AT801
181,CMN,LHR,AT800
182,DXB,LHR,EK7
183,ORD,LHR,BA294
184,STN,OPO,FR8343
185,OPO,STN,FR8344
