,canceled_departure_list,canceled_arrival_list,canceled_flight_codes_list
0,VIE,TLV,OS861
1,NIM,CDG,AF339
2,LFW,NIM,AF339
3,CDG,RUN,UU974
4,RUN,CDG,UU975
5,CDG,LHR,BA315
6,LHR,CDG,BA308
7,CDG,ORD,AF5396
8,FRA,HND,NH224
9,HND,FRA,NH223
10,TPE,NRT,UA2804
11,NRT,TPE,UA2804
12,AMS,ISL,MB224
13,MUC,TLV,LH684
14,TLV,MUC,LH683
15,ATH,TLV,A3924
16,TLV,ATH,A3925
17,TLV,ATH,A3929
18,ATH,ZRH,LX1831
19,ZRH,ATH,LX1830
20,DUB,CFN,EI3402
21,CFN,DUB,EI3403
22,DUB,KIV,5F712
23,FCO,ORD,UA2839
24,PLQ,RIX,BT32
25,DUB,KIV,5F712
26,TPE,AMS,CI73
27,BGO,KSU,WF568
28,KSU,BGO,WF569
29,TRF,BGO,WF406
30,OSL,FRO,WF135
31,OSL,FRO,WF139
32,FRO,OSL,WF136
33,OSL,HOV,WF177
34,TRF,BGO,WF406
35,SOJ,TOS,WF947
36,OTP,TLV,W63257
37,TLV,OTP,W63258
38,OTP,LHR,BA887
39,LHR,OTP,BA886
40,MEX,LAX,6R1302
41,LAX,GDL,6R1301
42,DME,NSK,Y7105
43,DME,SVX,U6271
44,BEG,JFK,JA500
45,JFK,BEG,JA501
46,IBZ,LHR,BA411
47,LHR,IBZ,BA410
48,MAN,ACE,BY2468
49,MAD,JED,SV226
50,JED,MAD,SV227
51,ARN,LHR,BA777
52,LHR,ARN,BA776
53,ZRH,HRG,WK130
54,HRG,ZRH,WK131
55,ZRH,RMF,WK150
56,RMF,ZRH,WK151
57,ZRH,ATH,LX1830
58,ATH,ZRH,LX1831
59,ZRH,TLV,LX256
60,IST,ADA,TK2470
61,SAW,ADA,TK7264
62,IST,IKA,IR718
63,IST,IKA,W5117
64,IST,IKA,W5121
65,IKA,IST,W5116
66,IKA,IST,W5120
67,IST,TLV,TK790
68,IST,ADA,TK2470
69,IST,ADB,TK2340
70,NKT,IST,TK2667
71,SAW,TLV,TK7710
72,TLV,SAW,TK7711
73,SAW,ADA,TK7264
74,SAW,ADB,TK7512
75,ADB,SAW,TK7499
76,IST,ADB,TK2340
77,ADB,SAW,TK7499
78,SAW,ADB,TK7512
79,ODS,TLV,PS787
80,LHR,CDG,BA308
81,CDG,LHR,BA315
82,LHR,TLV,BA165
83,TLV,LHR,BA164
84,KUL,LHR,MH4
85,LHR,OTP,BA886
86,OTP,LHR,BA887
87,LHR,IBZ,BA410
88,IBZ,LHR,BA411
89,LHR,ARN,BA776
90,ARN,LHR,BA777
91,MAN,ACE,BY2468
