,canceled_departure_list,canceled_arrival_list,canceled_flight_codes_list
0,EVN,SHJ,G9244
1,SHJ,EVN,G9245
2,INN,VIE,OS914
3,INN,VIE,OS914
4,ADD,VIE,ET724
5,VIE,SOF,FB410
6,SOF,VIE,FB409
7,ADD,VIE,ET724
8,VIE,MUC,OS111
9,MUC,VIE,OS112
10,FLR,VIE,OS532
11,VIE,SHJ,G9574
12,SHJ,VIE,G9573
13,GYD,SHJ,G9303
14,GYD,SHJ,G9306
15,SHJ,GYD,G9304
16,SHJ,GYD,G9305
17,ADD,VIE,ET724
18,SJJ,SHJ,G9312
19,SJJ,SHJ,G9313
20,SHJ,SJJ,G9311
21,SHJ,SJJ,G9314
22,SOF,VIE,FB409
23,VIE,SOF,FB410
24,SOF,BUD,W62472
25,PRG,SHJ,G9583
26,SHJ,PRG,G9582
27,FEZ,MRS,FR5163
28,MPL,RAK,3O328
29,RAK,MPL,3O327
30,NTE,TUN,TU209
31,CDG,DUB,AF1616
32,HND,CDG,JL45
33,DZA,CDG,UU977
34,CDG,CMN,AF1496
35,CDG,CMN,AF1596
36,CDG,CMN,AF1896
37,CMN,CDG,AF1597
38,CDG,RAK,AF1076
39,RAK,CDG,AF1077
40,CDG,RBA,AF1358
41,RBA,CDG,AF1459
42,CDG,RUN,UU972
43,RUN,CDG,UU971
44,JNB,CDG,AF995
45,ICN,CDG,AF193
46,PVG,ICN,AF193
47,SFO,ORY,BF711
48,TBS,WAW,LO8530
49,WAW,TBS,LO8529
50,TBS,SHJ,G9292
51,TBS,SHJ,G9293
52,SHJ,TBS,G9291
53,SHJ,TBS,G9294
54,DUS,OSL,SK817
55,OSL,DUS,SK816
56,FRA,HND,NH224
57,HND,FRA,NH223
58,TPE,FRA,CI61
59,FRA,ATL,LH8170
60,ATL,FRA,LH8177
61,FDH,RHO,XR9174
62,RHO,FDH,XR9173
63,FDH,AYT,XC7102
64,AYT,FDH,XC7101
65,FDH,ASR,XC7902
66,ASR,FDH,XC7901
67,MUC,VIE,OS112
68,VIE,MUC,OS111
69,ATH,JIK,OA40
70,JIK,ATH,OA41
71,RHO,FDH,XR9173
72,FDH,RHO,XR9174
73,SOF,BUD,W62472
74,SJC,CNY,N405QS
75,SJC,CNY,N405QS
76,KEF,ARN,FI312
77,ARN,KEF,FI313
78,CDG,DUB,AF1616
79,FLR,VIE,OS532
80,TUN,FCO,TU752
81,AMS,MXP,KZ92
82,FCO,TUN,TU753
83,TUN,FCO,TU752
84,FCO,TUN,TU753
85,TUN,FCO,TU752
86,ALA,KZO,KC985
87,ALA,UKK,KC303
88,ALA,SHJ,G9256
89,SHJ,ALA,G9255
90,RIX,BCN,BT683
91,BCN,RIX,BT684
92,RIX,MAD,BT685
93,MAD,RIX,BT686
