,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
0,TIA,BRU,-586.0,True,686.0,False,TB2952
1,BRU,TIA,-746.0,True,590.0,False,TB2951
2,ATH,TIA,-973.0,True,-71.0,True,A3970
3,TIA,BGY,-21622.0,True,-19969.0,True,ZB2007
4,BGY,TIA,-20948.0,True,-20164.0,True,ZB2008
5,TIA,IST,2472.0,False,160.0,False,ZB1001
6,TIA,SAW,-242.0,True,412.0,False,PC282
7,SAW,TIA,-752.0,True,1073.0,False,PC281
8,EVN,MSQ,-1057.0,True,-808.0,True,B2734
9,MSQ,EVN,-769.0,True,665.0,False,B2733
10,EVN,CDG,-3763.0,True,-734.0,True,AF1061
11,EVN,DOH,13.0,False,809.0,False,QR286
12,DOH,EVN,-1023.0,True,303.0,False,QR285
13,EVN,VKO,-10277.0,True,-11044.0,True,RM930
14,VKO,EVN,-12656.0,True,-12062.0,True,RM929
15,GRZ,VIE,-564.0,True,-92.0,True,OS964
16,VIE,GRZ,217.0,False,528.0,False,OS975
17,VIE,INN,-174.0,True,31.0,False,OS913
18,VIE,GRZ,217.0,False,528.0,False,OS975
19,GRZ,VIE,-564.0,True,-92.0,True,OS964
20,VIE,INN,-174.0,True,31.0,False,OS913
21,VIE,MSQ,113.0,False,1356.0,False,B2880
22,MSQ,VIE,-102.0,True,1323.0,False,B2879
23,VIE,ISL,-12355.0,True,-10912.0,True,TK6431
24,MSQ,VIE,-12836.0,True,-11104.0,True,TK6431
25,VIE,BRU,-3948.0,True,-4599.0,True,ET724
26,VIE,BRU,-1352.0,True,-995.0,True,OS355
27,VIE,ADD,-3673.0,True,-1899.0,True,ET725
28,BRU,VIE,-798.0,True,-538.0,True,ET725
29,BRU,VIE,-977.0,True,-432.0,True,OS356
30,TLV,CDG,-11799.0,True,-10506.0,True,3V4849
31,SJJ,VIE,300.0,False,712.0,False,OS758
32,VIE,SOF,-499.0,True,1111.0,False,OS797
33,SOF,VIE,171.0,False,1530.0,False,OS798
34,LCA,VIE,-803.0,True,-142.0,True,OS832
35,VIE,CPH,-1776.0,True,-462.0,True,OS305
36,CPH,VIE,-1075.0,True,454.0,False,OS306
37,CAI,VIE,-689.0,True,302.0,False,OS866
38,VIE,ADD,-3673.0,True,-1899.0,True,ET725
39,BRU,VIE,-798.0,True,-538.0,True,ET725
40,VIE,BRU,-3948.0,True,-4599.0,True,ET724
41,VIE,CDG,-718.0,True,705.0,False,OS417
42,VIE,CDG,-593.0,True,1353.0,False,AF1139
