,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
0,TIA,VIE,182.0,False,1324.0,False,OS850
1,VIE,TIA,-311.0,True,1193.0,False,OS849
2,TIA,BRU,18.0,False,906.0,False,TB2952
3,BRU,TIA,-313.0,True,1410.0,False,TB2951
4,TIA,BSL,-326.0,True,4.0,False,W66635
5,BSL,TIA,-443.0,True,1857.0,False,W66636
6,TIA,DTM,-1041.0,True,44.0,False,W63841
7,DTM,TIA,-3017.0,True,-1555.0,True,W63842
8,TIA,ATH,-327.0,True,787.0,False,A3973
9,ATH,TIA,-1130.0,True,139.0,False,A3972
10,TIA,BGY,-1185.0,True,-419.0,True,W63845
11,BGY,TIA,-1831.0,True,-1911.0,True,W63846
12,TIA,MXP,-813.0,True,-174.0,True,W66607
13,MXP,TIA,-2546.0,True,-887.0,True,W66608
14,TIA,PSA,-1102.0,True,-680.0,True,ZB2009
15,PSA,TIA,-1223.0,True,141.0,False,ZB2010
16,TIA,VCE,-17244.0,True,-15621.0,True,2B225
17,VCE,TIA,-19218.0,True,-17150.0,True,2B224
18,TIA,VRN,6578.0,False,1587.0,False,ZB2011
19,VRN,TIA,6894.0,False,1654.0,False,ZB2012
20,TIA,BEG,55.0,False,1104.0,False,JU213
21,TIA,BEG,-231.0,True,864.0,False,JU217
22,BEG,TIA,-353.0,True,836.0,False,JU212
23,BEG,TIA,-30.0,True,1522.0,False,JU216
24,TIA,IST,-454.0,True,1504.0,False,ZB1001
25,TIA,SAW,-467.0,True,1372.0,False,PC284
26,SAW,TIA,-342.0,True,595.0,False,PC283
27,TIA,KBP,-1727.0,True,-920.0,True,PQ502
28,KBP,TIA,-696.0,True,-702.0,True,PQ501
29,TIA,LHR,-1301.0,True,-961.0,True,BA2649
30,LHR,TIA,-1665.0,True,637.0,False,BA2648
31,TIA,LTN,-497.0,True,158.0,False,W64466
32,LTN,TIA,-2233.0,True,545.0,False,W64465
33,EVN,MSQ,-1161.0,True,61.0,False,B2734
34,MSQ,EVN,-1475.0,True,-341.0,True,B2733
35,EVN,SSH,-161.0,True,1314.0,False,SM994
36,SSH,EVN,-362.0,True,974.0,False,SM993
37,EVN,BEY,-940.0,True,62.0,False,ME276
38,BEY,EVN,-445.0,True,545.0,False,ME275
39,EVN,DOH,-280.0,True,-318.0,True,QR286
40,DOH,EVN,-1142.0,True,23.0,False,QR285
41,EVN,MRV,-10974.0,True,-10631.0,True,RM743
42,MRV,EVN,-12941.0,True,-12207.0,True,RM744
43,EVN,VKO,-1315.0,True,-1163.0,True,RM930
44,VKO,EVN,-2362.0,True,-2134.0,True,RM929
45,SHJ,EVN,-174.0,True,715.0,False,G9244
46,EVN,SHJ,-758.0,True,-237.0,True,G9245
47,GRZ,VIE,-218.0,True,326.0,False,OS964
48,GRZ,VIE,276.0,False,1148.0,False,OS980
49,VIE,GRZ,21.0,False,886.0,False,OS963
50,VIE,GRZ,-285.0,True,452.0,False,OS975
51,VIE,GRZ,-451.0,True,376.0,False,OS977
52,INN,VIE,-524.0,True,219.0,False,OS914
53,VIE,INN,-33.0,True,428.0,False,OS913
54,VIE,TIA,-311.0,True,1193.0,False,OS849
55,TIA,VIE,182.0,False,1324.0,False,OS850
56,VIE,GRZ,21.0,False,886.0,False,OS963
57,VIE,GRZ,-285.0,True,452.0,False,OS975
58,VIE,GRZ,-451.0,True,376.0,False,OS977
59,GRZ,VIE,-218.0,True,326.0,False,OS964
60,GRZ,VIE,276.0,False,1148.0,False,OS980
61,VIE,INN,-33.0,True,428.0,False,OS913
62,INN,VIE,-524.0,True,219.0,False,OS914
63,ADD,VIE,-899.0,True,1790.0,False,ET724
64,VIE,BRU,-1012.0,True,-350.0,True,OS355
65,BRU,VIE,-870.0,True,967.0,False,OS356
66,VIE,SJJ,-619.0,True,366.0,False,OS757
67,VIE,SJJ,-861.0,True,401.0,False,OS759
68,SJJ,VIE,-70.0,True,1140.0,False,OS758
69,SJJ,VIE,-8.0,True,1288.0,False,OS760
70,VIE,SOF,-1653.0,True,-535.0,True,OS797
71,VIE,SOF,-608.0,True,449.0,False,OS799
72,SOF,VIE,-1052.0,True,323.0,False,OS798
73,VIE,ZAD,-184.0,True,980.0,False,OS753
74,ZAD,VIE,332.0,False,1573.0,False,OS754
75,VIE,ZAG,-199.0,True,855.0,False,OS683
76,ZAG,VIE,-332.0,True,966.0,False,OS684
77,VIE,LCA,-1430.0,True,-463.0,True,OS831
78,LCA,VIE,-629.0,True,1009.0,False,OS832
79,VIE,CPH,-143.0,True,1316.0,False,OS301
80,CPH,VIE,-559.0,True,1200.0,False,OS302
81,CAI,VIE,-1088.0,True,806.0,False,OS866
82,ADD,VIE,-899.0,True,1790.0,False,ET724
83,VIE,HEL,36.0,False,1402.0,False,AY1476
84,HEL,VIE,-31.0,True,776.0,False,AY1475
85,VIE,CDG,-686.0,True,1067.0,False,OS411
86,VIE,CDG,-88.0,True,1467.0,False,AF1139
87,CDG,VIE,-942.0,True,523.0,False,OS412
88,CDG,VIE,-602.0,True,1190.0,False,OS418
89,CDG,VIE,-1119.0,True,499.0,False,AF1138
90,VIE,BER,-548.0,True,720.0,False,OS223
91,BER,VIE,-1146.0,True,41.0,False,OS224
92,BER,VIE,-1036.0,True,470.0,False,OS236
93,VIE,DUS,-470.0,True,806.0,False,OS151
94,VIE,DUS,-1543.0,True,-559.0,True,OS155
95,VIE,DUS,-387.0,True,967.0,False,EW9753
96,DUS,VIE,-872.0,True,350.0,False,OS152
97,DUS,VIE,-1356.0,True,333.0,False,OS156
98,DUS,VIE,-288.0,True,1399.0,False,EW9752
99,VIE,FRA,-2908.0,True,-1213.0,True,KE537
100,SVO,VIE,1184.0,False,-555.0,True,KE537
101,VIE,FRA,-394.0,True,1162.0,False,LH1233
102,VIE,FRA,266.0,False,1452.0,False,LH1243
103,FRA,VIE,-1052.0,True,360.0,False,OS122
104,FRA,VIE,-696.0,True,761.0,False,OS126
105,FRA,VIE,-677.0,True,378.0,False,LH1232
106,VIE,HAM,-931.0,True,227.0,False,OS171
107,VIE,HAM,-226.0,True,1112.0,False,OS175
108,VIE,HAM,-395.0,True,704.0,False,EW7751
109,HAM,VIE,-355.0,True,1286.0,False,OS172
110,HAM,VIE,-132.0,True,1283.0,False,OS176
111,HAM,VIE,-510.0,True,1062.0,False,EW7750
112,VIE,MUC,-473.0,True,1087.0,False,OS111
113,VIE,MUC,-749.0,True,441.0,False,OS115
114,MUC,VIE,-303.0,True,1039.0,False,OS112
115,MUC,VIE,-1060.0,True,155.0,False,OS116
116,VIE,STR,-255.0,True,848.0,False,OS187
117,VIE,STR,290.0,False,1949.0,False,EW2759
118,STR,VIE,-655.0,True,574.0,False,OS188
119,VIE,ATH,-2276.0,True,-776.0,True,OS801
120,ATH,VIE,-2500.0,True,-486.0,True,OS802
121,VIE,BLQ,-38.0,True,441.0,False,OS547
122,BLQ,VIE,-659.0,True,146.0,False,OS548
123,VIE,MXP,-277.0,True,168.0,False,OS507
124,VIE,MXP,-1235.0,True,-107.0,True,OS515
125,VIE,MXP,-26710.0,True,-24849.0,True,OZ789
126,DME,VIE,-25710.0,True,-27243.0,True,OZ789
127,MXP,ICN,-25674.0,True,-21509.0,True,OZ790
128,MXP,VIE,-472.0,True,161.0,False,OS508
129,MXP,VIE,-755.0,True,862.0,False,OS516
130,VIE,VCE,-585.0,True,271.0,False,OS523
131,VCE,VIE,-1043.0,True,223.0,False,OS524
132,VIE,PRN,-846.0,True,533.0,False,OS769
133,PRN,VIE,111.0,False,996.0,False,OS778
134,VIE,LUX,196.0,False,403.0,False,LG8858
135,LUX,VIE,-1793.0,True,-488.0,True,LG8857
136,VIE,TGD,-715.0,True,-153.0,True,OS727
137,TGD,VIE,-573.0,True,473.0,False,OS728
138,VIE,AMS,-709.0,True,918.0,False,OS371
139,VIE,AMS,-2796.0,True,-1265.0,True,OS375
140,AMS,VIE,-1757.0,True,56.0,False,OS372
141,AMS,VIE,-1802.0,True,169.0,False,OS376
142,VIE,SKP,-799.0,True,122.0,False,OS779
143,SKP,VIE,154.0,False,950.0,False,OS776
144,SKP,VIE,-218.0,True,963.0,False,OS780
145,VIE,WAW,-517.0,True,14.0,False,LO224
146,WAW,VIE,-123.0,True,992.0,False,LO223
147,VIE,OTP,-1001.0,True,131.0,False,OS767
148,VIE,OTP,-464.0,True,834.0,False,OS791
149,OTP,VIE,-745.0,True,524.0,False,OS792
150,VIE,BEG,-255.0,True,218.0,False,JU601
151,BEG,VIE,-526.0,True,1060.0,False,JU600
152,VIE,KSC,-588.0,True,205.0,False,OS741
