,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list
0,TIA,MSQ,-1459.0,True,-640.0,True
1,MSQ,TIA,-790.0,True,-456.0,True
2,TIA,BRU,-205.0,True,1074.0,False
3,BRU,TIA,-1524.0,True,211.0,False
4,BSL,TIA,-1544.0,True,233.0,False
5,TIA,ORY,790.0,False,1524.0,False
6,ORY,TIA,-135.0,True,2582.0,False
7,TIA,HHN,-686.0,True,228.0,False
8,HHN,TIA,-1800.0,True,-32.0,True
9,TIA,FMM,-348.0,True,865.0,False
10,FMM,TIA,-648.0,True,843.0,False
11,TIA,ATH,-145.0,True,968.0,False
12,ATH,TIA,-860.0,True,567.0,False
13,TIA,AOI,-391.0,True,50.0,False
14,AOI,TIA,-381.0,True,273.0,False
15,TIA,BLQ,-552.0,True,331.0,False
16,TIA,BLQ,-6939.0,True,-5646.0,True
17,BLQ,TIA,-959.0,True,141.0,False
18,BLQ,TIA,-4975.0,True,-2859.0,True
19,TIA,BGY,-345.0,True,1051.0,False
20,TIA,BGY,251.0,False,1469.0,False
21,BGY,TIA,-657.0,True,799.0,False
22,BGY,TIA,-255.0,True,875.0,False
23,TIA,MXP,-864.0,True,728.0,False
24,TIA,MXP,-412.0,True,1302.0,False
25,MXP,TIA,-1707.0,True,-391.0,True
26,MXP,TIA,251.0,False,3114.0,False
27,PSA,TIA,-239.0,True,1879.0,False
28,TIA,PSA,231.0,False,1738.0,False
29,TIA,PSA,-575.0,True,561.0,False
30,TIA,PSA,-1842.0,True,-884.0,True
31,PSA,TIA,-239.0,True,1879.0,False
32,TIA,PSA,231.0,False,1738.0,False
33,PSA,TIA,-805.0,True,874.0,False
34,PSA,TIA,-4550.0,True,-3126.0,True
35,TIA,FCO,-643.0,True,735.0,False
36,TIA,FCO,-765.0,True,483.0,False
37,FCO,TIA,-601.0,True,827.0,False
38,TIA,TRN,133.0,False,845.0,False
39,TIA,TRN,-585.0,True,439.0,False
40,TRN,TIA,-550.0,True,837.0,False
41,TRN,TIA,-1498.0,True,-146.0,True
42,TIA,VRN,-17788.0,True,1461.0,False
43,VRN,TIA,-18329.0,True,1239.0,False
44,TIA,EIN,-594.0,True,602.0,False
45,EIN,TIA,-933.0,True,1251.0,False
46,TIA,WAW,748.0,False,2635.0,False
47,WAW,TIA,-1240.0,True,760.0,False
48,BEG,TIA,155.0,False,1484.0,False
49,TIA,IST,-784.0,True,1081.0,False
50,TIA,LTN,-252.0,True,759.0,False
51,LTN,TIA,-1441.0,True,821.0,False
52,EVN,MSQ,-928.0,True,189.0,False
53,MSQ,EVN,-628.0,True,834.0,False
54,EVN,BEY,-375.0,True,1094.0,False
55,BEY,EVN,-523.0,True,578.0,False
56,EVN,VKO,-20814.0,True,-21416.0,True
57,VKO,EVN,-27489.0,True,-26935.0,True
58,GRZ,VIE,-165.0,True,407.0,False
59,VIE,GRZ,69.0,False,484.0,False
60,GRZ,FRA,-32.0,True,981.0,False
61,FRA,GRZ,-1227.0,True,72.0,False
62,INN,VIE,60.0,False,873.0,False
63,INN,VIE,-360.0,True,252.0,False
64,VIE,INN,213.0,False,473.0,False
65,VIE,INN,-225.0,True,-58.0,True
66,SZG,FRA,-10.0,True,549.0,False
67,FRA,SZG,-665.0,True,402.0,False
68,VIE,GRZ,69.0,False,484.0,False
69,GRZ,VIE,-165.0,True,407.0,False
70,VIE,INN,213.0,False,473.0,False
71,VIE,INN,-225.0,True,-58.0,True
72,INN,VIE,60.0,False,873.0,False
73,INN,VIE,-360.0,True,252.0,False
74,ADD,VIE,-4506.0,True,-2909.0,True
75,VIE,BRU,-163.0,True,761.0,False
76,VIE,BRU,-1079.0,True,175.0,False
77,BRU,VIE,-562.0,True,1041.0,False
78,BRU,VIE,-234.0,True,1777.0,False
79,VIE,CRL,-466.0,True,405.0,False
80,CRL,VIE,-450.0,True,1431.0,False
81,TLV,VIE,-2331.0,True,-4556.0,True
82,VIE,TLV,-2866.0,True,-1079.0,True
83,VIE,SPU,-272.0,True,664.0,False
84,SPU,VIE,-370.0,True,802.0,False
85,VIE,ZAG,-537.0,True,111.0,False
86,ZAG,VIE,191.0,False,1060.0,False
87,VIE,LCA,-848.0,True,875.0,False
88,VIE,LCA,-2029.0,True,-275.0,True
89,LCA,VIE,314.0,False,1180.0,False
90,LCA,VIE,-1207.0,True,123.0,False
91,VIE,PRG,-81.0,True,157.0,False
92,PRG,VIE,349.0,False,1700.0,False
93,VIE,CPH,-539.0,True,694.0,False
94,CPH,VIE,274.0,False,1296.0,False
95,VIE,TLL,-2573.0,True,-1305.0,True
96,VIE,TLL,-511.0,True,1298.0,False
97,VIE,TLL,-552.0,True,1128.0,False
98,TLL,VIE,-4556.0,True,-3035.0,True
99,TLL,VIE,-288.0,True,1709.0,False
100,TLL,VIE,-463.0,True,869.0,False
101,ADD,VIE,-4506.0,True,-2909.0,True
102,BSL,VIE,-2256.0,True,-1367.0,True
103,VIE,BOD,100.0,False,1050.0,False
