,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
0,BSL,TIA,-1809.0,True,-402.0,True,W66636
1,TIA,DTM,-2242.0,True,-800.0,True,W63841
2,DTM,TIA,-1711.0,True,31.0,False,W63842
3,TIA,HHN,-709.0,True,621.0,False,W66615
4,HHN,TIA,-1630.0,True,608.0,False,W66616
5,TIA,FMM,-417.0,True,929.0,False,W63843
6,FMM,TIA,4.0,False,1769.0,False,W63844
7,TIA,AOI,-1438.0,True,-915.0,True,BV2239
8,AOI,TIA,-761.0,True,434.0,False,BV2238
9,TIA,BLQ,-569.0,True,700.0,False,BV2229
10,TIA,BLQ,-90.0,True,890.0,False,W63847
11,TIA,BLQ,-648.0,True,524.0,False,ZB2005
12,BLQ,TIA,-845.0,True,970.0,False,BV2228
13,BLQ,TIA,-991.0,True,253.0,False,W63848
14,BLQ,TIA,-1374.0,True,776.0,False,ZB2006
15,TIA,CTA,-2186.0,True,-795.0,True,W66605
16,CTA,TIA,-2402.0,True,-847.0,True,W66606
17,TIA,BGY,0.0,False,-2352.0,True,BV2233
18,TIA,BGY,-138.0,True,1177.0,False,ZB2007
19,BGY,TIA,-284.0,True,928.0,False,ZB2008
20,TIA,MXP,-287.0,True,1669.0,False,BV2331
21,TIA,MXP,-24.0,True,1769.0,False,ZB2003
22,MXP,TIA,-2255.0,True,49.0,False,ZB2004
23,PSA,TIA,-389.0,True,1456.0,False,2B230
24,TIA,PSA,-525.0,True,666.0,False,2B231
25,TIA,PSA,-359.0,True,786.0,False,W63853
26,TIA,PSA,199.0,False,906.0,False,ZB2009
27,PSA,TIA,-389.0,True,1456.0,False,2B230
28,TIA,PSA,-525.0,True,666.0,False,2B231
29,PSA,TIA,-561.0,True,804.0,False,W63854
30,PSA,TIA,-196.0,True,1333.0,False,ZB2010
31,TIA,FCO,-269.0,True,1011.0,False,AZ507
32,TIA,FCO,-387.0,True,1495.0,False,BV2227
33,FCO,TIA,-769.0,True,1114.0,False,BV2226
34,TIA,TRN,-362.0,True,415.0,False,BV2247
35,TIA,TRN,-1128.0,True,-177.0,True,W66603
36,TRN,TIA,-1064.0,True,380.0,False,BV2246
37,TRN,TIA,-2276.0,True,-1706.0,True,W66604
38,TIA,VCE,-511.0,True,881.0,False,2B225
39,VCE,TIA,-549.0,True,1396.0,False,2B224
40,TIA,VRN,-17453.0,True,1742.0,False,BV2235
41,TIA,VRN,-1047.0,True,1235.0,False,ZB2011
42,VRN,TIA,-17418.0,True,2212.0,False,BV2234
43,VRN,TIA,716.0,False,2589.0,False,ZB2012
44,TIA,EIN,-303.0,True,1209.0,False,W66627
45,EIN,TIA,-2201.0,True,-529.0,True,W66628
46,TIA,WAW,-163.0,True,2016.0,False,LO8524
47,WAW,TIA,-1091.0,True,539.0,False,LO8523
48,TIA,BEG,0.0,False,-599.0,True,JU213
49,TIA,BEG,600.0,False,1805.0,False,JU217
50,IST,TIA,-1641.0,True,195.0,False,ZB1002
51,KBP,TIA,-10960.0,True,646.0,False,PQ501
52,TIA,LHR,-1342.0,True,-703.0,True,BA2649
53,LHR,TIA,-1704.0,True,449.0,False,BA2648
54,TIA,LTN,-1049.0,True,102.0,False,W64466
55,EVN,MSQ,-2316.0,True,-1568.0,True,B2734
56,MSQ,EVN,-1971.0,True,-257.0,True,B2733
57,CJU,KWJ,-667.0,True,1145.0,False,7C604
58,EVN,CDG,-719.0,True,893.0,False,AF1171
59,GRZ,VIE,-32.0,True,312.0,False,OS964
60,VIE,GRZ,205.0,False,740.0,False,OS975
61,GRZ,FRA,-407.0,True,761.0,False,LH1265
62,FRA,GRZ,-819.0,True,278.0,False,LH1264
63,INN,VIE,34.0,False,594.0,False,OS906
64,INN,VIE,-360.0,True,136.0,False,OS914
65,VIE,INN,302.0,False,661.0,False,OS905
66,LNZ,HER,-48.0,True,821.0,False,XR6202
67,HER,LNZ,-1820.0,True,478.0,False,XR6201
68,SZG,FRA,-510.0,True,545.0,False,LH1103
69,FRA,SZG,-413.0,True,653.0,False,LH1102
70,SZG,RHO,-342.0,True,582.0,False,EW5632
71,RHO,SZG,-264.0,True,832.0,False,EW5633
72,SZG,PMI,-234.0,True,779.0,False,FR542
73,SZG,PMI,-201.0,True,1645.0,False,EW4368
74,PMI,SZG,-565.0,True,272.0,False,FR543
75,PMI,SZG,-609.0,True,237.0,False,EW4369
76,SZG,IST,-440.0,True,1437.0,False,TK1382
77,IST,SZG,-513.0,True,1202.0,False,TK1381
78,VIE,GRZ,205.0,False,740.0,False,OS975
79,GRZ,VIE,-32.0,True,312.0,False,OS964
80,VIE,INN,302.0,False,661.0,False,OS905
81,INN,VIE,34.0,False,594.0,False,OS906
82,INN,VIE,-360.0,True,136.0,False,OS914
83,VIE,BRU,87.0,False,43.0,False,ET724
84,VIE,BRU,-171.0,True,1047.0,False,OS351
85,VIE,BRU,-216.0,True,524.0,False,OS355
86,VIE,ADD,-3021.0,True,-1475.0,True,ET725
87,BRU,VIE,-1263.0,True,-917.0,True,ET725
88,BRU,VIE,-356.0,True,918.0,False,OS352
89,BRU,VIE,-24.0,True,1498.0,False,OS356
90,TLV,LGG,1284.0,False,3848.0,False,3V4849
91,LGG,TLV,1990.0,False,4227.0,False,3V4848
92,VIE,DBV,-221.0,True,491.0,False,OS731
93,DBV,VIE,-536.0,True,477.0,False,OS732
94,VIE,SPU,-510.0,True,638.0,False,OS745
95,VIE,SPU,-687.0,True,424.0,False,OU445
96,SPU,VIE,-485.0,True,325.0,False,OS746
97,SPU,VIE,-297.0,True,610.0,False,OU444
98,VIE,ZAD,-2032.0,True,-788.0,True,OS753
99,ZAD,VIE,-949.0,True,462.0,False,OS754
100,VIE,ZAG,-116.0,True,476.0,False,OS681
101,ZAG,VIE,145.0,False,1396.0,False,OS682
102,VIE,LCA,-525.0,True,717.0,False,FR708
103,VIE,LCA,-874.0,True,312.0,False,OS831
104,LCA,VIE,188.0,False,1370.0,False,FR709
105,LCA,VIE,-1205.0,True,633.0,False,OS832
106,VIE,CPH,-263.0,True,842.0,False,OS301
107,CPH,VIE,-212.0,True,890.0,False,OS302
108,VIE,TLL,-171.0,True,1502.0,False,FR7320
109,VIE,TLL,-420.0,True,946.0,False,W62915
110,TLL,VIE,645.0,False,2575.0,False,FR7321
111,TLL,VIE,-139.0,True,1178.0,False,W62916
112,VIE,ADD,-3021.0,True,-1475.0,True,ET725
113,BRU,VIE,-1263.0,True,-917.0,True,ET725
114,VIE,BRU,87.0,False,43.0,False,ET724
115,VIE,HEL,-1189.0,True,-176.0,True,AY1476
116,HEL,VIE,120.0,False,890.0,False,AY1475
117,VIE,BOD,-333.0,True,1425.0,False,FR7281
118,BOD,VIE,-526.0,True,985.0,False,FR7282
119,VIE,NCE,-518.0,True,630.0,False,OS425
120,NCE,VIE,-991.0,True,437.0,False,OS426
121,VIE,CDG,-311.0,True,1620.0,False,OS411
122,VIE,CDG,-328.0,True,1434.0,False,OS417
123,VIE,CDG,-351.0,True,1376.0,False,AF1739
124,CDG,VIE,-1525.0,True,101.0,False,OS412
125,CDG,VIE,-1019.0,True,682.0,False,OS418
126,CDG,VIE,-716.0,True,1155.0,False,AF1738
127,VIE,TXL,-224.0,True,1457.0,False,OS223
128,VIE,TXL,-319.0,True,876.0,False,OS229
129,VIE,TXL,-442.0,True,825.0,False,OS235
130,TXL,VIE,-390.0,True,1140.0,False,OS224
131,TXL,VIE,-427.0,True,689.0,False,OS230
132,TXL,VIE,263.0,False,1748.0,False,OS236
133,TXL,VIE,-146.0,True,1065.0,False,OS240
134,VIE,CGN,-180.0,True,1180.0,False,W62887
135,CGN,VIE,-132.0,True,1220.0,False,W62888
136,VIE,DTM,-599.0,True,1441.0,False,W62841
137,DTM,VIE,95.0,False,1896.0,False,W62842
138,VIE,DUS,-228.0,True,1021.0,False,OS151
139,DUS,VIE,-700.0,True,527.0,False,OS152
140,VIE,OSL,-2031.0,True,-285.0,True,KE541
141,VIE,FRA,-346.0,True,1625.0,False,OS121
142,VIE,FRA,-499.0,True,1041.0,False,OS125
143,VIE,FRA,-961.0,True,1054.0,False,OZ791
144,ICN,VIE,-3376.0,True,-1722.0,True,OZ791
145,FRA,ICN,-1937.0,True,-334.0,True,OZ792
146,VIE,FRA,-585.0,True,942.0,False,LH1233
147,VIE,FRA,-40.0,True,1563.0,False,LH1243
148,FRA,VIE,-922.0,True,646.0,False,OS122
149,FRA,VIE,-290.0,True,976.0,False,OS126
150,FRA,VIE,-1393.0,True,-235.0,True,LH1232
151,FRA,VIE,-1049.0,True,310.0,False,LH1240
152,VIE,HAM,-1195.0,True,-774.0,True,OS171
153,HAM,VIE,-620.0,True,119.0,False,OS172
154,HAM,VIE,-1153.0,True,185.0,False,OS176
155,VIE,MUC,-219.0,True,662.0,False,OS111
156,VIE,MUC,155.0,False,1305.0,False,LH2329
157,VIE,MUC,270.0,False,1369.0,False,LH2331
158,MUC,VIE,-153.0,True,795.0,False,OS112
159,MUC,VIE,-351.0,True,1105.0,False,LH2328
160,MUC,VIE,-519.0,True,933.0,False,LH2330
161,VIE,STR,-319.0,True,860.0,False,OS187
162,VIE,ATH,-2008.0,True,-362.0,True,OS801
163,VIE,ATH,-572.0,True,961.0,False,FR7285
164,VIE,ATH,-191.0,True,848.0,False,W62885
165,ATH,VIE,-1613.0,True,209.0,False,OS802
166,ATH,VIE,-696.0,True,1562.0,False,FR7286
167,ATH,VIE,-2320.0,True,-575.0,True,W62886
168,VIE,CHQ,-1017.0,True,-26.0,True,OS9139
169,CHQ,VIE,-1729.0,True,428.0,False,OS9140
170,VIE,CFU,-606.0,True,662.0,False,OS9097
171,CFU,VIE,-719.0,True,561.0,False,OS9098
172,VIE,HER,-817.0,True,580.0,False,OS9001
173,VIE,HER,-764.0,True,812.0,False,OS9011
174,HER,VIE,262.0,False,1893.0,False,OS9002
175,HER,VIE,-1215.0,True,747.0,False,OS9012
176,VIE,KGS,-687.0,True,-155.0,True,OS9101
177,KGS,VIE,-807.0,True,831.0,False,OS9102
178,VIE,JTR,-1117.0,True,-488.0,True,FR570
179,VIE,JTR,-228.0,True,256.0,False,OS9037
180,VIE,JTR,-1211.0,True,70.0,False,W62941
181,JTR,VIE,-328.0,True,1018.0,False,FR571
182,JTR,VIE,-341.0,True,1392.0,False,OS9038
183,JTR,VIE,-250.0,True,1432.0,False,W62942
184,VIE,JSI,-1294.0,True,-79.0,True,FR240
185,JSI,VIE,-1327.0,True,447.0,False,FR241
186,VIE,SKG,-381.0,True,68.0,False,FR180
187,VIE,SKG,-577.0,True,565.0,False,OS809
188,SKG,VIE,-1841.0,True,-196.0,True,FR181
189,SKG,VIE,-1091.0,True,-215.0,True,OS810
190,VIE,KEF,-442.0,True,1674.0,False,W62857
191,KEF,VIE,-449.0,True,1719.0,False,W62858
192,VIE,DUB,-3911.0,True,-2028.0,True,FR7366
193,DUB,VIE,-3200.0,True,-1268.0,True,FR7367
194,VIE,SNN,-401.0,True,140.0,False,FR3450
195,SNN,VIE,-648.0,True,1326.0,False,FR3451
196,LGG,TLV,1990.0,False,4227.0,False,3V4848
197,VIE,TLV,-241.0,True,645.0,False,FR7161
198,TLV,LGG,1284.0,False,3848.0,False,3V4849
199,TLV,VIE,144.0,False,2158.0,False,FR7162
200,VIE,AHO,-313.0,True,1696.0,False,W62956
201,AHO,VIE,365.0,False,1351.0,False,W62957
202,VIE,CTA,-806.0,True,1268.0,False,FR7299
203,CTA,VIE,-543.0,True,1608.0,False,FR7300
204,VIE,BGY,-332.0,True,1497.0,False,FR7360
205,BGY,VIE,-88.0,True,1822.0,False,FR7361
206,MXP,ICN,-7348.0,True,-1422.0,True,OZ790
207,VIE,MXP,-1469.0,True,128.0,False,KE9575
208,DEL,VIE,-176.0,True,2417.0,False,KE9575
209,VIE,NAP,-258.0,True,654.0,False,W62871
210,NAP,VIE,-794.0,True,291.0,False,W62872
211,VIE,PMO,-235.0,True,2126.0,False,FR7316
212,PMO,VIE,-515.0,True,1122.0,False,FR7317
213,VIE,FCO,-315.0,True,1641.0,False,FR7344
214,VIE,FCO,-96.0,True,1822.0,False,W62817
215,FCO,VIE,-570.0,True,1013.0,False,FR7345
216,FCO,VIE,-207.0,True,1605.0,False,W62818
217,VIE,RIX,-364.0,True,857.0,False,BT434
218,RIX,VIE,-374.0,True,724.0,False,BT433
219,VIE,LUX,-5569.0,True,-2949.0,True,CV7536
220,VIE,LUX,-60.0,True,929.0,False,LG8852
221,VIE,LUX,156.0,False,1129.0,False,LG8858
222,LUX,VIE,-174.0,True,1124.0,False,LG8851
223,LUX,VIE,-3.0,True,1362.0,False,LG8857
224,VIE,MLA,-863.0,True,578.0,False,KM515
225,VIE,MLA,-85.0,True,907.0,False,W62819
226,MLA,VIE,-650.0,True,1100.0,False,KM514
227,MLA,VIE,-650.0,True,961.0,False,W62820
228,VIE,AMS,-1029.0,True,430.0,False,OS371
229,VIE,AMS,-427.0,True,833.0,False,OS375
230,VIE,AMS,105.0,False,1858.0,False,KL1846
231,AMS,VIE,-1582.0,True,416.0,False,OS372
232,AMS,VIE,-450.0,True,1367.0,False,OS376
233,AMS,VIE,-117.0,True,1403.0,False,KL1845
234,VIE,OSL,-2031.0,True,-285.0,True,KE541
235,VIE,OSL,-252.0,True,622.0,False,W62873
236,OSL,VIE,-2110.0,True,-1182.0,True,W62874
237,VIE,WAW,452.0,False,1530.0,False,LO224
238,VIE,WAW,-405.0,True,668.0,False,LO226
239,VIE,WAW,-130.0,True,373.0,False,OS623
240,WAW,VIE,-299.0,True,1433.0,False,LO223
241,WAW,VIE,-460.0,True,1205.0,False,LO225
242,WAW,VIE,107.0,False,1031.0,False,OS624
243,VIE,DOH,-224.0,True,2613.0,False,QR184
244,DOH,VIE,-2393.0,True,224.0,False,QR183
245,VIE,KSC,-2173.0,True,-1303.0,True,OS741
246,KSC,VIE,-335.0,True,307.0,False,OS742
247,KSC,VIE,312.0,False,719.0,False,OS744
248,VIE,ALC,-658.0,True,235.0,False,FR7283
249,VIE,ALC,-429.0,True,1091.0,False,W62867
250,ALC,VIE,-892.0,True,88.0,False,FR7284
251,ALC,VIE,-1608.0,True,-28.0,True,W62868
252,VIE,BCN,-814.0,True,554.0,False,FR7362
253,VIE,BCN,-618.0,True,1408.0,False,VY8715
254,BCN,VIE,-648.0,True,921.0,False,FR7363
255,BCN,VIE,-582.0,True,1649.0,False,VY8714
256,VIE,MAD,-219.0,True,1979.0,False,FR2965
257,VIE,MAD,149.0,False,1615.0,False,W62845
258,MAD,VIE,-952.0,True,368.0,False,FR2966
259,MAD,VIE,-850.0,True,1043.0,False,W62846
260,VIE,AGP,-648.0,True,599.0,False,FR590
261,VIE,AGP,-817.0,True,1041.0,False,W62861
262,AGP,VIE,-1250.0,True,-405.0,True,FR591
263,AGP,VIE,-749.0,True,1059.0,False,W62862
264,VIE,PMI,-1573.0,True,-128.0,True,FR500
265,VIE,PMI,-930.0,True,868.0,False,OS9507
266,PMI,VIE,-956.0,True,569.0,False,FR501
267,PMI,VIE,-898.0,True,704.0,False,OS9508
268,VIE,SVQ,-381.0,True,744.0,False,FR7336
269,SVQ,VIE,-415.0,True,580.0,False,FR7337
270,VIE,TFS,-852.0,True,468.0,False,W62831
271,TFS,VIE,-1573.0,True,-208.0,True,W62832
272,VIE,GVA,-423.0,True,1514.0,False,OS571
273,GVA,VIE,-659.0,True,953.0,False,OS572
274,VIE,ZRH,76.0,False,1709.0,False,OS561
275,VIE,ZRH,-507.0,True,764.0,False,OS565
276,VIE,ZRH,-505.0,True,-223.0,True,OS569
277,HAN,DEL,-273.0,True,3198.0,False,KE9577
278,ICN,HAN,-1360.0,True,1174.0,False,KE9577
279,VIE,ZRH,-790.0,True,553.0,False,LX1575
280,VIE,ZRH,-316.0,True,785.0,False,LX1579
281,ZRH,VIE,-20.0,True,1357.0,False,OS562
282,ZRH,VIE,-644.0,True,699.0,False,OS566
283,ZRH,VIE,-434.0,True,-70.0,True,OS570
284,ZRH,VIE,-1066.0,True,102.0,False,LX1574
285,ZRH,VIE,-563.0,True,471.0,False,LX1578
286,VIE,BKK,-1129.0,True,-1441.0,True,OS25
287,VIE,ESB,-360.0,True,899.0,False,TK7805
288,ESB,VIE,-50.0,True,1905.0,False,TK7804
289,VIE,AYT,-87.0,True,1146.0,False,XQ191
290,AYT,VIE,73.0,False,2041.0,False,XQ190
291,VIE,IST,-685.0,True,1601.0,False,TK1884
