Id,Source,Target,Weight
0,1,74,17
1,74,1,16
2,2,74,6
3,74,2,5
4,4,74,2
5,74,4,2
6,5,74,1
7,74,5,1
8,6,74,11
9,74,6,11
10,7,74,3
11,74,7,3
12,8,74,8
13,74,8,8
14,9,74,3
15,74,9,3
16,10,74,2
17,74,10,2
18,11,74,6
19,74,11,6
20,12,74,14
21,74,12,14
22,13,74,7
23,74,13,7
24,14,74,5
25,74,14,5
26,15,74,13
27,74,15,14
28,16,74,22
29,74,16,22
30,17,74,3
31,74,17,3
32,18,74,12
33,74,18,12
34,19,74,8
35,74,19,8
36,20,74,30
37,74,20,31
38,21,74,5
39,74,21,5
40,22,74,3
41,74,22,3
42,23,74,5
43,74,23,5
44,24,74,14
45,74,24,14
46,25,74,14
47,74,25,14
48,131,74,1
49,26,74,4
50,74,26,4
51,27,74,10
52,74,27,10
53,28,74,13
54,74,28,13
55,29,74,16
56,74,29,16
57,30,74,5
58,74,30,5
59,31,74,5
60,74,31,5
61,32,74,3
62,74,32,3
63,33,74,4
64,74,33,4
65,1,80,6
66,80,1,5
67,34,80,3
68,80,34,2
69,217,80,1
70,80,217,1
71,35,80,3
72,80,35,3
73,36,80,6
74,80,36,6
75,37,80,4
76,80,37,5
77,38,80,7
78,80,38,7
79,5,80,4
80,80,5,4
81,6,80,1
82,80,6,1
83,8,80,3
84,80,8,2
85,39,80,12
86,80,39,12
87,40,80,7
88,80,40,7
89,41,80,1
90,42,80,2
91,80,42,2
92,43,80,5
93,80,43,5
94,44,80,8
95,80,44,8
96,45,80,8
97,80,45,8
98,46,80,7
99,80,46,7
100,47,80,3
101,80,47,3
102,48,80,38
103,80,48,38
104,49,80,56
105,80,49,56
106,50,80,15
107,80,50,15
108,51,80,4
109,80,51,4
110,52,80,3
111,80,52,3
112,53,80,1
113,80,53,1
114,54,80,10
115,80,54,10
116,55,80,3
117,80,55,3
118,56,80,2
119,80,56,2
120,57,80,2
121,80,57,2
122,58,80,1
123,80,58,1
124,29,80,5
125,80,29,5
126,59,80,1
127,80,59,1
128,60,80,14
129,80,60,14
130,61,80,9
131,80,61,10
132,62,80,4
133,80,62,4
134,0,81,1
135,1,81,31
136,81,1,31
137,63,81,7
138,81,63,7
139,64,81,14
140,81,64,14
141,6,81,32
142,81,6,32
143,7,81,33
144,81,7,33
145,65,81,11
146,81,65,11
147,66,81,1
148,81,66,1
149,124,81,1
150,81,124,1
151,26,81,8
152,81,26,8
153,68,81,4
154,81,68,4
155,69,81,7
156,81,69,7
157,29,81,5
158,81,29,5
159,549,81,1
160,1,82,33
161,82,1,32
162,6,82,32
163,82,6,32
164,66,82,1
165,82,66,1
166,70,82,2
167,82,70,2
168,71,82,1
169,82,71,1
170,26,82,2
171,82,26,2
172,78,82,1
173,68,82,1
174,82,68,1
175,31,82,3
176,82,31,3
177,72,82,2
178,82,72,2
179,1,83,28
180,83,1,27
181,5,83,8
182,83,5,8
183,73,83,2
184,83,73,2
185,1,0,7
186,0,1,7
187,64,0,11
188,0,64,11
189,6,0,30
190,0,6,30
191,111,0,1
192,75,0,1
193,0,75,1
194,66,0,1
195,0,66,1
196,71,0,1
197,0,71,1
198,68,0,3
199,0,68,3
200,33,0,2
201,0,33,2
202,74,84,1
203,1,84,22
204,84,1,23
205,2,84,2
206,84,2,2
207,76,84,5
208,84,76,5
209,63,84,15
210,84,63,16
211,5,84,6
212,84,5,6
213,64,84,22
214,84,64,22
215,6,84,32
216,84,6,32
217,73,84,8
218,84,73,8
219,75,84,1
220,84,75,1
221,66,84,3
222,84,66,3
223,70,84,4
224,84,70,3
225,71,84,1
226,84,71,1
227,77,84,2
228,84,77,2
229,28,84,2
230,84,28,1
231,68,84,8
232,84,68,8
233,29,84,8
234,84,29,8
235,31,84,7
236,84,31,7
237,72,84,2
238,84,72,2
239,33,84,11
240,84,33,11
241,74,1,16
242,1,74,17
243,79,1,2
244,1,79,3
245,80,1,5
246,1,80,6
247,81,1,31
248,1,81,31
249,82,1,32
250,1,82,33
251,83,1,27
252,1,83,28
253,0,1,7
254,1,0,7
255,84,1,23
256,1,84,22
257,34,1,13
258,1,34,16
259,2,1,57
260,1,2,57
261,190,1,6
262,1,190,4
263,85,1,15
264,1,85,15
265,86,1,5
266,1,86,5
267,87,1,1
268,1,87,1
269,3,1,39
270,1,3,39
271,88,1,10
272,1,88,10
273,89,1,7
274,1,89,7
275,90,1,10
276,1,90,9
277,91,1,6
278,1,91,7
279,92,1,8
280,1,92,8
281,93,1,10
282,1,93,10
283,94,1,36
284,1,94,36
285,95,1,17
286,1,95,17
287,96,1,36
288,1,96,36
289,97,1,31
290,1,97,33
291,98,1,12
292,1,98,12
293,99,1,9
294,1,99,9
295,100,1,5
296,1,100,6
297,101,1,16
298,1,101,16
299,102,1,22
300,1,102,22
301,36,1,17
302,1,36,17
303,103,1,3
304,1,103,3
305,104,1,4
306,1,104,4
307,105,1,21
308,1,105,21
309,37,1,60
310,1,37,60
311,4,1,5
312,1,4,5
313,38,1,2
314,1,38,2
315,76,1,15
316,1,76,15
317,63,1,109
318,1,63,110
319,5,1,36
320,1,5,36
321,64,1,69
322,1,64,69
323,6,1,112
324,1,6,101
325,107,1,2
326,73,1,53
327,1,73,53
328,108,1,26
329,1,108,26
330,109,1,12
331,1,109,12
332,7,1,61
333,1,7,61
334,110,1,12
335,1,110,12
336,604,1,1
337,1,604,1
338,65,1,53
339,1,65,53
340,386,1,1
341,1,386,1
342,8,1,22
343,1,8,21
344,111,1,1
345,1,111,1
346,75,1,2
347,1,75,2
348,66,1,6
349,1,66,5
350,112,1,1
351,1,112,1
352,70,1,3
353,1,70,3
354,253,1,2
355,1,253,2
356,71,1,4
357,1,71,4
358,113,1,2
359,1,113,2
360,114,1,4
361,1,114,4
362,115,1,8
363,1,115,8
364,116,1,6
365,1,116,8
366,9,1,24
367,1,9,24
368,117,1,5
369,1,117,4
370,118,1,4
371,39,1,15
372,1,39,14
373,119,1,8
374,1,119,8
375,120,1,11
376,1,120,11
377,40,1,37
378,1,40,36
379,11,1,2
380,1,11,1
381,12,1,22
382,1,12,22
383,122,1,8
384,1,122,8
385,13,1,8
386,1,13,8
387,123,1,1
388,1,123,1
389,16,1,57
390,1,16,42
391,124,1,14
392,1,124,14
393,77,1,8
394,1,77,8
395,125,1,1
396,1,125,1
397,20,1,36
398,1,20,36
399,24,1,32
400,1,24,32
401,260,1,5
402,1,260,5
403,126,1,8
404,1,126,8
405,127,1,12
406,1,127,13
407,128,1,14
408,1,128,14
409,129,1,8
410,1,129,8
411,130,1,25
412,1,130,23
413,131,1,12
414,1,131,13
415,132,1,9
416,1,132,9
417,133,1,14
418,1,133,15
419,134,1,13
420,1,134,13
421,135,1,3
422,1,135,3
423,26,1,70
424,1,26,70
425,136,1,5
426,1,136,5
427,137,1,23
428,1,137,20
429,138,1,5
430,1,138,5
431,139,1,16
432,1,139,16
433,44,1,40
434,1,44,40
435,140,1,2
436,1,140,2
437,141,1,1
438,1,141,1
439,142,1,16
440,1,142,16
441,67,1,1
442,45,1,14
443,1,45,13
444,143,1,51
445,1,143,51
446,144,1,8
447,1,144,8
448,145,1,8
449,1,145,8
450,46,1,5
451,1,46,5
452,48,1,15
453,1,48,25
454,49,1,32
455,1,49,32
456,50,1,8
457,1,50,8
458,55,1,13
459,1,55,13
460,27,1,37
461,1,27,37
462,146,1,14
463,1,146,14
464,28,1,17
465,1,28,17
466,148,1,5
467,1,148,17
468,149,1,30
469,1,149,30
470,150,1,2
471,1,150,2
472,151,1,2
473,1,151,2
474,152,1,3
475,1,152,3
476,153,1,3
477,1,153,3
478,154,1,29
479,1,154,29
480,156,1,4
481,1,156,4
482,68,1,18
483,1,68,18
484,157,1,1
485,1,157,1
486,158,1,2
487,159,1,4
488,1,159,4
489,160,1,31
490,1,160,31
491,161,1,7
492,1,161,7
493,162,1,38
494,1,162,38
495,163,1,25
496,1,163,26
497,69,1,94
